iteration,time_out,hand_wrist_away,object_away,ep_len,mean_reward,voc,obj_pos_err,obj_rot_err,rw_err,lw_err,rf_err,lf_err,R_force_closure,R_object_kp,R_hand_kp,R_hand_joint,R_termination
38,0.9951,0.0,0.0049,273.46,38.75,1.0,0.0074,0.0135,0.0155,0.0369,0.217,0.1951,1.2995,0.0,0.1319,0.1287,0.0
39,0.9957,0.0,0.0043,294.22,42.24,1.0,0.008,0.0119,0.0157,0.0368,0.218,0.1935,1.372,0.0,0.1403,0.1371,-0.0004
40,0.9965,0.0,0.0035,261.46,36.69,1.0,0.0062,0.0087,0.0156,0.0359,0.2168,0.1767,1.2296,0.0,0.13,0.127,-0.0005
41,0.9968,0.0,0.0032,289.76,41.93,1.0,0.0063,0.0098,0.0155,0.0362,0.2155,0.1818,1.3301,0.0,0.1387,0.1355,-0.0005
42,0.9962,0.0,0.0038,270.32,39.15,1.0,0.0067,0.0085,0.0157,0.0362,0.2171,0.1757,1.3023,0.0,0.134,0.131,-0.001
43,0.9963,0.0,0.0037,293.55,41.95,1.0,0.0079,0.012,0.0154,0.037,0.2174,0.1931,1.2663,0.0,0.1303,0.1271,-0.0006
44,0.9962,0.0,0.0038,258.64,37.14,1.0,0.0062,0.0067,0.0157,0.0362,0.217,0.1731,1.2194,0.0,0.1265,0.1236,0.0
45,0.9962,0.0,0.0038,268.44,38.62,1.0,0.0069,0.0109,0.0157,0.0367,0.217,0.1888,1.258,0.0,0.1296,0.1265,-0.0004
46,0.9962,0.0,0.0038,265.55,37.02,1.0,0.0057,0.0084,0.0155,0.0364,0.2171,0.1805,1.2878,0.0,0.134,0.131,0.0
47,0.9966,0.0,0.0034,260.8,37.01,1.0,0.0067,0.0091,0.0154,0.0364,0.2181,0.1816,1.2088,0.0,0.1244,0.1215,0.0
48,0.997,0.0,0.003,278.69,39.58,1.0,0.005,0.006,0.0155,0.0359,0.2164,0.1686,1.2198,0.0,0.1265,0.1236,0.0
49,0.9975,0.0,0.0025,283.42,39.84,1.0,0.0059,0.006,0.0156,0.0358,0.2189,0.166,1.2486,0.0,0.128,0.125,-0.0011
50,0.9976,0.0,0.0024,300.72,43.27,1.0,0.0071,0.011,0.0156,0.0366,0.218,0.1855,1.3002,0.0,0.1324,0.1294,-0.0005
51,0.9975,0.0,0.0025,247.17,34.24,1.0,0.0079,0.0092,0.0159,0.0368,0.2174,0.1824,1.203,0.0,0.1255,0.1225,-0.0005
52,0.9975,0.0,0.0025,247.9,35.17,1.0,0.0061,0.0089,0.0157,0.0371,0.2194,0.1793,1.2817,0.0,0.1317,0.1287,0.0
53,0.9979,0.0,0.0021,275.47,38.24,1.0,0.0073,0.0099,0.016,0.0373,0.2192,0.1901,1.2961,0.0,0.133,0.1299,0.0
54,0.9985,0.0,0.0015,255.62,37.0,1.0,0.007,0.0113,0.0158,0.0375,0.219,0.1911,1.2341,0.0,0.1263,0.1233,-0.0003
55,0.9983,0.0,0.0017,251.84,34.92,1.0,0.0062,0.0056,0.0158,0.0368,0.219,0.1698,1.2297,0.0,0.1276,0.1247,-0.0007
56,0.9981,0.0,0.0019,279.08,40.24,1.0,0.0065,0.0086,0.0158,0.0369,0.2196,0.183,1.3163,0.0,0.134,0.1309,-0.0006
57,0.9979,0.0,0.0021,293.44,41.83,1.0,0.0063,0.0085,0.0158,0.0371,0.2191,0.1791,1.3407,0.0,0.1372,0.1341,-0.0004
58,0.9978,0.0,0.0022,273.7,39.7,1.0,0.0067,0.0079,0.0163,0.0375,0.2192,0.1763,1.233,0.0,0.1259,0.1229,-0.0006
59,0.9981,0.0,0.0019,281.03,39.33,1.0,0.0056,0.0066,0.0157,0.037,0.2192,0.1751,1.2579,0.0,0.1307,0.1276,0.0
60,0.9979,0.0,0.0021,305.94,43.39,1.0,0.0066,0.0063,0.0161,0.0368,0.2192,0.1673,1.3202,0.0,0.1341,0.131,-0.0017
